model_name,max_input_length,max_output_length,batch_size,budget_tested,total_tokens_per_sec,input_tokens_per_sec,output_tokens_per_sec,cost_per_hour,dollar_per_million_token,total_runtime_hours,total_cost,pipeline_stages,device_type,pp,mem_per_gpu_gb,placement,layer_mapping,tp_per_stage,num_gpus,total_layers,is_best,status
qwen2.5-72b,8192,1024,32,62.76,2465.36,2191.43,273.93,62.76,7.071314,0.11,7.07,8,"g6.48xlarge#0,g6.48xlarge#1,g6.48xlarge#2,g6.48xlarge#3",8,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0, PP_6:24.0, PP_7:24.0, PP_8:24.0}","{PP_1:{g6.48xlarge#0:4}, PP_2:{g6.48xlarge#0:4}, PP_3:{g6.48xlarge#1:4}, PP_4:{g6.48xlarge#1:4}, PP_5:{g6.48xlarge#2:4}, PP_6:{g6.48xlarge#2:4}, PP_7:{g6.48xlarge#3:4}, PP_8:{g6.48xlarge#3:4}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4, PP_6:4, PP_7:4, PP_8:4}",32,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,62.80,2465.36,2191.43,273.93,62.80,7.075820,0.11,7.08,8,"g6.24xlarge#0,g6.24xlarge#1,g6.24xlarge#2,g6.24xlarge#3,g6.24xlarge#4,g6.24xlarge#5,g6.24xlarge#6,g6.24xlarge#7",8,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0, PP_6:24.0, PP_7:24.0, PP_8:24.0}","{PP_1:{g6.24xlarge#0:4}, PP_2:{g6.24xlarge#1:4}, PP_3:{g6.24xlarge#2:4}, PP_4:{g6.24xlarge#3:4}, PP_5:{g6.24xlarge#4:4}, PP_6:{g6.24xlarge#5:4}, PP_7:{g6.24xlarge#6:4}, PP_8:{g6.24xlarge#7:4}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4, PP_6:4, PP_7:4, PP_8:4}",32,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,34.25,1342.88,1193.67,149.21,34.25,7.084708,0.21,7.08,5,"g6e.12xlarge#0,g6e.12xlarge#1,g6e.12xlarge#2,g6e.12xlarge#3,g6e.12xlarge#4",5,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0}","{PP_1:{g6e.12xlarge#0:2}, PP_2:{g6e.12xlarge#1:2}, PP_3:{g6e.12xlarge#2:2}, PP_4:{g6e.12xlarge#3:2}, PP_5:{g6e.12xlarge#4:2}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2}",10,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,81.92,3167.70,2815.73,351.97,81.92,7.183617,0.09,7.18,2,"p4de.24xlarge#0,p4de.24xlarge#1",2,"{PP_1:80.0, PP_2:80.0}","{PP_1:{p4de.24xlarge#0:8}, PP_2:{p4de.24xlarge#1:8}}","{PP_1:1-40, PP_2:41-80}","{PP_1:8, PP_2:8}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,54.78,2074.81,1844.28,230.53,54.78,7.333999,0.13,7.33,2,"g6e.48xlarge#0,g6e.48xlarge#1",2,"{PP_1:48.0, PP_2:48.0}","{PP_1:{g6e.48xlarge#0:8}, PP_2:{g6e.48xlarge#1:8}}","{PP_1:1-40, PP_2:41-80}","{PP_1:8, PP_2:8}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,65.54,2437.73,2166.87,270.86,65.54,7.468234,0.11,7.47,4,"p4d.24xlarge#0,p4d.24xlarge#1",4,"{PP_1:40.0, PP_2:40.0, PP_3:40.0, PP_4:40.0}","{PP_1:{p4d.24xlarge#0:4}, PP_2:{p4d.24xlarge#0:4}, PP_3:{p4d.24xlarge#1:4}, PP_4:{p4d.24xlarge#1:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,54.78,1990.21,1769.08,221.13,54.78,7.645745,0.14,7.65,4,"g6e.48xlarge#0,g6e.48xlarge#1",4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.48xlarge#0:4}, PP_2:{g6e.48xlarge#0:4}, PP_3:{g6e.48xlarge#1:4}, PP_4:{g6e.48xlarge#1:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,54.80,1990.21,1769.08,221.13,54.80,7.648536,0.14,7.65,4,"g6e.24xlarge#0,g6e.24xlarge#1,g6e.24xlarge#2,g6e.24xlarge#3",4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.24xlarge#0:4}, PP_2:{g6e.24xlarge#1:4}, PP_3:{g6e.24xlarge#2:4}, PP_4:{g6e.24xlarge#3:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,41.10,1342.88,1193.67,149.21,41.10,8.501650,0.21,8.50,5,"g6e.24xlarge#0,g6e.24xlarge#1,g6e.24xlarge#2",5,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0}","{PP_1:{g6e.24xlarge#0:2}, PP_2:{g6e.24xlarge#0:2}, PP_3:{g6e.24xlarge#1:2}, PP_4:{g6e.24xlarge#1:2}, PP_5:{g6e.24xlarge#2:2}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2}",10,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,68.50,2176.80,1934.93,241.87,68.50,8.741184,0.13,8.74,5,"g6e.24xlarge#0,g6e.24xlarge#1,g6e.24xlarge#2,g6e.24xlarge#3,g6e.24xlarge#4",5,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0}","{PP_1:{g6e.24xlarge#0:4}, PP_2:{g6e.24xlarge#1:4}, PP_3:{g6e.24xlarge#2:4}, PP_4:{g6e.24xlarge#3:4}, PP_5:{g6e.24xlarge#4:4}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4}",20,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,40.96,1298.84,1154.52,144.32,40.96,8.759958,0.21,8.76,4,p4de.24xlarge#0,4,"{PP_1:80.0, PP_2:80.0, PP_3:80.0, PP_4:80.0}","{PP_1:{p4de.24xlarge#0:2}, PP_2:{p4de.24xlarge#0:2}, PP_3:{p4de.24xlarge#0:2}, PP_4:{p4de.24xlarge#0:2}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2}",8,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,81.92,2437.73,2166.87,270.86,81.92,9.334723,0.11,9.33,4,"p4de.24xlarge#0,p4de.24xlarge#1",4,"{PP_1:80.0, PP_2:80.0, PP_3:80.0, PP_4:80.0}","{PP_1:{p4de.24xlarge#0:4}, PP_2:{p4de.24xlarge#0:4}, PP_3:{p4de.24xlarge#1:4}, PP_4:{p4de.24xlarge#1:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,125.52,3692.51,3282.23,410.28,125.52,9.442541,0.08,9.44,8,"g6.48xlarge#0,g6.48xlarge#1,g6.48xlarge#2,g6.48xlarge#3,g6.48xlarge#4,g6.48xlarge#5,g6.48xlarge#6,g6.48xlarge#7",8,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0, PP_6:24.0, PP_7:24.0, PP_8:24.0}","{PP_1:{g6.48xlarge#0:8}, PP_2:{g6.48xlarge#1:8}, PP_3:{g6.48xlarge#2:8}, PP_4:{g6.48xlarge#3:8}, PP_5:{g6.48xlarge#4:8}, PP_6:{g6.48xlarge#5:8}, PP_7:{g6.48xlarge#6:8}, PP_8:{g6.48xlarge#7:8}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8, PP_5:8, PP_6:8, PP_7:8, PP_8:8}",64,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,54.78,1562.62,1389.00,173.62,54.78,9.737919,0.18,9.74,8,"g6e.48xlarge#0,g6e.48xlarge#1",8,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0, PP_6:48.0, PP_7:48.0, PP_8:48.0}","{PP_1:{g6e.48xlarge#0:2}, PP_2:{g6e.48xlarge#0:2}, PP_3:{g6e.48xlarge#0:2}, PP_4:{g6e.48xlarge#0:2}, PP_5:{g6e.48xlarge#1:2}, PP_6:{g6e.48xlarge#1:2}, PP_7:{g6e.48xlarge#1:2}, PP_8:{g6e.48xlarge#1:2}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2, PP_6:2, PP_7:2, PP_8:2}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,54.80,1562.62,1389.00,173.62,54.80,9.741474,0.18,9.74,8,"g6e.12xlarge#0,g6e.12xlarge#1,g6e.12xlarge#2,g6e.12xlarge#3,g6e.12xlarge#4,g6e.12xlarge#5,g6e.12xlarge#6,g6e.12xlarge#7",8,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0, PP_6:48.0, PP_7:48.0, PP_8:48.0}","{PP_1:{g6e.12xlarge#0:2}, PP_2:{g6e.12xlarge#1:2}, PP_3:{g6e.12xlarge#2:2}, PP_4:{g6e.12xlarge#3:2}, PP_5:{g6e.12xlarge#4:2}, PP_6:{g6e.12xlarge#5:2}, PP_7:{g6e.12xlarge#6:2}, PP_8:{g6e.12xlarge#7:2}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2, PP_6:2, PP_7:2, PP_8:2}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,54.80,1562.62,1389.00,173.62,54.80,9.741474,0.18,9.74,8,"g6e.24xlarge#0,g6e.24xlarge#1,g6e.24xlarge#2,g6e.24xlarge#3",8,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0, PP_6:48.0, PP_7:48.0, PP_8:48.0}","{PP_1:{g6e.24xlarge#0:2}, PP_2:{g6e.24xlarge#0:2}, PP_3:{g6e.24xlarge#1:2}, PP_4:{g6e.24xlarge#1:2}, PP_5:{g6e.24xlarge#2:2}, PP_6:{g6e.24xlarge#2:2}, PP_7:{g6e.24xlarge#3:2}, PP_8:{g6e.24xlarge#3:2}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2, PP_6:2, PP_7:2, PP_8:2}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,22.68,637.17,566.38,70.80,22.68,9.887436,0.44,9.89,4,"g5.12xlarge#0,g5.12xlarge#1,g5.12xlarge#2,g5.12xlarge#3",4,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0}","{PP_1:{g5.12xlarge#0:4}, PP_2:{g5.12xlarge#1:4}, PP_3:{g5.12xlarge#2:4}, PP_4:{g5.12xlarge#3:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,109.56,2964.02,2634.68,329.34,109.56,10.267599,0.09,10.27,4,"g6e.48xlarge#0,g6e.48xlarge#1,g6e.48xlarge#2,g6e.48xlarge#3",4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.48xlarge#0:8}, PP_2:{g6e.48xlarge#1:8}, PP_3:{g6e.48xlarge#2:8}, PP_4:{g6e.48xlarge#3:8}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8}",32,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,82.17,2176.80,1934.93,241.87,82.17,10.485593,0.13,10.49,5,"g6e.48xlarge#0,g6e.48xlarge#1,g6e.48xlarge#2",5,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0}","{PP_1:{g6e.48xlarge#0:4}, PP_2:{g6e.48xlarge#0:4}, PP_3:{g6e.48xlarge#1:4}, PP_4:{g6e.48xlarge#1:4}, PP_5:{g6e.48xlarge#2:4}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4}",20,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,40.96,1066.51,948.01,118.50,40.96,10.668255,0.26,10.67,1,p4de.24xlarge#0,1,{PP_1:80.0},{PP_1:{p4de.24xlarge#0:4}},{PP_1:1-80},{PP_1:4},4,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,65.54,1653.07,1469.39,183.67,65.54,11.013191,0.17,11.01,8,"p4d.24xlarge#0,p4d.24xlarge#1",8,"{PP_1:40.0, PP_2:40.0, PP_3:40.0, PP_4:40.0, PP_5:40.0, PP_6:40.0, PP_7:40.0, PP_8:40.0}","{PP_1:{p4d.24xlarge#0:2}, PP_2:{p4d.24xlarge#0:2}, PP_3:{p4d.24xlarge#0:2}, PP_4:{p4d.24xlarge#0:2}, PP_5:{p4d.24xlarge#1:2}, PP_6:{p4d.24xlarge#1:2}, PP_7:{p4d.24xlarge#1:2}, PP_8:{p4d.24xlarge#1:2}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2, PP_6:2, PP_7:2, PP_8:2}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,28.35,696.91,619.47,77.43,28.35,11.299927,0.40,11.30,5,"g5.12xlarge#0,g5.12xlarge#1,g5.12xlarge#2,g5.12xlarge#3,g5.12xlarge#4",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0}","{PP_1:{g5.12xlarge#0:4}, PP_2:{g5.12xlarge#1:4}, PP_3:{g5.12xlarge#2:4}, PP_4:{g5.12xlarge#3:4}, PP_5:{g5.12xlarge#4:4}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4}",20,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,54.78,1342.88,1193.67,149.21,54.78,11.331396,0.21,11.33,5,"g6e.48xlarge#0,g6e.48xlarge#1",5,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0}","{PP_1:{g6e.48xlarge#0:2}, PP_2:{g6e.48xlarge#0:2}, PP_3:{g6e.48xlarge#0:2}, PP_4:{g6e.48xlarge#0:2}, PP_5:{g6e.48xlarge#1:2}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2}",10,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,32.58,775.84,689.63,86.20,32.58,11.664798,0.36,11.66,2,"g5.48xlarge#0,g5.48xlarge#1",2,"{PP_1:24.0, PP_2:24.0}","{PP_1:{g5.48xlarge#0:8}, PP_2:{g5.48xlarge#1:8}}","{PP_1:1-40, PP_2:41-80}","{PP_1:8, PP_2:8}",16,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,136.95,3241.89,2881.68,360.21,136.95,11.734399,0.09,11.73,5,"g6e.48xlarge#0,g6e.48xlarge#1,g6e.48xlarge#2,g6e.48xlarge#3,g6e.48xlarge#4",5,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0}","{PP_1:{g6e.48xlarge#0:8}, PP_2:{g6e.48xlarge#1:8}, PP_3:{g6e.48xlarge#2:8}, PP_4:{g6e.48xlarge#3:8}, PP_5:{g6e.48xlarge#4:8}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8, PP_5:8}",40,80,NO,SUCCESS
qwen2.5-72b,8192,1024,32,109.56,2533.00,2251.56,281.44,109.56,12.014741,0.11,12.01,8,"g6e.48xlarge#0,g6e.48xlarge#1,g6e.48xlarge#2,g6e.48xlarge#3",8,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0, PP_6:48.0, PP_7:48.0, PP_8:48.0}","{PP_1:{g6e.48xlarge#0:4}, PP_2:{g6e.48xlarge#0:4}, PP_3:{g6e.48xlarge#1:4}, PP_4:{g6e.48xlarge#1:4}, PP_5:{g6e.48xlarge#2:4}, PP_6:{g6e.48xlarge#2:4}, PP_7:{g6e.48xlarge#3:4}, PP_8:{g6e.48xlarge#3:4}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4, PP_6:4, PP_7:4, PP_8:4}",32,80,NO,SUCCESS
