model_name,max_input_length,max_output_length,batch_size,budget_tested,total_tokens_per_sec,input_tokens_per_sec,output_tokens_per_sec,cost_per_hour,dollar_per_million_token,total_runtime_hours,total_cost,pipeline_stages,device_type,pp,mem_per_gpu_gb,placement,layer_mapping,tp_per_stage,num_gpus,total_layers,is_best,status
llama3-70b,8192,2048,32,54.78,1594.13,1275.30,318.83,54.78,9.545432,0.17,9.55,8,"g6e.48xlarge#0,g6e.48xlarge#1",8,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0, PP_6:48.0, PP_7:48.0, PP_8:48.0}","{PP_1:{g6e.48xlarge#0:2}, PP_2:{g6e.48xlarge#0:2}, PP_3:{g6e.48xlarge#0:2}, PP_4:{g6e.48xlarge#0:2}, PP_5:{g6e.48xlarge#1:2}, PP_6:{g6e.48xlarge#1:2}, PP_7:{g6e.48xlarge#1:2}, PP_8:{g6e.48xlarge#1:2}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2, PP_6:2, PP_7:2, PP_8:2}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,54.80,1594.13,1275.30,318.83,54.80,9.548917,0.17,9.55,8,"g6e.24xlarge#0,g6e.24xlarge#1,g6e.24xlarge#2,g6e.24xlarge#3",8,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0, PP_6:48.0, PP_7:48.0, PP_8:48.0}","{PP_1:{g6e.24xlarge#0:2}, PP_2:{g6e.24xlarge#0:2}, PP_3:{g6e.24xlarge#1:2}, PP_4:{g6e.24xlarge#1:2}, PP_5:{g6e.24xlarge#2:2}, PP_6:{g6e.24xlarge#2:2}, PP_7:{g6e.24xlarge#3:2}, PP_8:{g6e.24xlarge#3:2}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2, PP_6:2, PP_7:2, PP_8:2}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,22.68,650.31,520.25,130.06,22.68,9.687624,0.43,9.69,4,"g5.12xlarge#0,g5.12xlarge#1,g5.12xlarge#2,g5.12xlarge#3",4,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0}","{PP_1:{g5.12xlarge#0:4}, PP_2:{g5.12xlarge#1:4}, PP_3:{g5.12xlarge#2:4}, PP_4:{g5.12xlarge#3:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,109.56,3004.07,2403.26,600.81,109.56,10.130697,0.09,10.13,4,"g6e.48xlarge#0,g6e.48xlarge#1,g6e.48xlarge#2,g6e.48xlarge#3",4,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0}","{PP_1:{g6e.48xlarge#0:8}, PP_2:{g6e.48xlarge#1:8}, PP_3:{g6e.48xlarge#2:8}, PP_4:{g6e.48xlarge#3:8}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8}",32,80,NO,SUCCESS
llama3-70b,8192,2048,32,82.17,2214.24,1771.39,442.85,82.17,10.308272,0.13,10.31,5,"g6e.48xlarge#0,g6e.48xlarge#1,g6e.48xlarge#2",5,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0}","{PP_1:{g6e.48xlarge#0:4}, PP_2:{g6e.48xlarge#0:4}, PP_3:{g6e.48xlarge#1:4}, PP_4:{g6e.48xlarge#1:4}, PP_5:{g6e.48xlarge#2:4}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4}",20,80,NO,SUCCESS
llama3-70b,8192,2048,32,40.96,1089.88,871.90,217.98,40.96,10.439477,0.25,10.44,1,p4de.24xlarge#0,1,{PP_1:80.0},{PP_1:{p4de.24xlarge#0:4}},{PP_1:1-80},{PP_1:4},4,80,NO,SUCCESS
llama3-70b,8192,2048,32,54.78,1369.96,1095.96,273.99,54.78,11.107412,0.20,11.11,5,"g6e.48xlarge#0,g6e.48xlarge#1",5,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0}","{PP_1:{g6e.48xlarge#0:2}, PP_2:{g6e.48xlarge#0:2}, PP_3:{g6e.48xlarge#0:2}, PP_4:{g6e.48xlarge#0:2}, PP_5:{g6e.48xlarge#1:2}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2}",10,80,NO,SUCCESS
llama3-70b,8192,2048,32,32.58,790.55,632.44,158.11,32.58,11.447715,0.35,11.45,2,"g5.48xlarge#0,g5.48xlarge#1",2,"{PP_1:24.0, PP_2:24.0}","{PP_1:{g5.48xlarge#0:8}, PP_2:{g5.48xlarge#1:8}}","{PP_1:1-40, PP_2:41-80}","{PP_1:8, PP_2:8}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,109.56,2576.57,2061.26,515.31,109.56,11.811561,0.11,11.81,8,"g6e.48xlarge#0,g6e.48xlarge#1,g6e.48xlarge#2,g6e.48xlarge#3",8,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0, PP_6:48.0, PP_7:48.0, PP_8:48.0}","{PP_1:{g6e.48xlarge#0:4}, PP_2:{g6e.48xlarge#0:4}, PP_3:{g6e.48xlarge#1:4}, PP_4:{g6e.48xlarge#1:4}, PP_5:{g6e.48xlarge#2:4}, PP_6:{g6e.48xlarge#2:4}, PP_7:{g6e.48xlarge#3:4}, PP_8:{g6e.48xlarge#3:4}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4, PP_6:4, PP_7:4, PP_8:4}",32,80,NO,SUCCESS
llama3-70b,8192,2048,32,40.96,929.31,743.44,185.86,40.96,12.243304,0.30,12.24,2,p4de.24xlarge#0,2,"{PP_1:80.0, PP_2:80.0}","{PP_1:{p4de.24xlarge#0:2}, PP_2:{p4de.24xlarge#0:2}}","{PP_1:1-40, PP_2:41-80}","{PP_1:2, PP_2:2}",4,80,NO,SUCCESS
llama3-70b,8192,2048,32,40.96,894.01,715.21,178.80,40.96,12.726613,0.31,12.73,8,p4de.24xlarge#0,8,"{PP_1:80.0, PP_2:80.0, PP_3:80.0, PP_4:80.0, PP_5:80.0, PP_6:80.0, PP_7:80.0, PP_8:80.0}","{PP_1:{p4de.24xlarge#0:1}, PP_2:{p4de.24xlarge#0:1}, PP_3:{p4de.24xlarge#0:1}, PP_4:{p4de.24xlarge#0:1}, PP_5:{p4de.24xlarge#0:1}, PP_6:{p4de.24xlarge#0:1}, PP_7:{p4de.24xlarge#0:1}, PP_8:{p4de.24xlarge#0:1}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:1, PP_2:1, PP_3:1, PP_4:1, PP_5:1, PP_6:1, PP_7:1, PP_8:1}",8,80,NO,SUCCESS
llama3-70b,8192,2048,32,32.56,650.31,520.25,130.06,32.56,13.907806,0.43,13.91,4,"g5.24xlarge#0,g5.24xlarge#1,g5.24xlarge#2,g5.24xlarge#3",4,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0}","{PP_1:{g5.24xlarge#0:4}, PP_2:{g5.24xlarge#1:4}, PP_3:{g5.24xlarge#2:4}, PP_4:{g5.24xlarge#3:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,32.58,650.31,520.25,130.06,32.58,13.916349,0.43,13.92,4,"g5.48xlarge#0,g5.48xlarge#1",4,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0}","{PP_1:{g5.48xlarge#0:4}, PP_2:{g5.48xlarge#0:4}, PP_3:{g5.48xlarge#1:4}, PP_4:{g5.48xlarge#1:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,40.96,768.29,614.64,153.66,40.96,14.809150,0.36,14.81,5,p4de.24xlarge#0,5,"{PP_1:80.0, PP_2:80.0, PP_3:80.0, PP_4:80.0, PP_5:80.0}","{PP_1:{p4de.24xlarge#0:1}, PP_2:{p4de.24xlarge#0:1}, PP_3:{p4de.24xlarge#0:1}, PP_4:{p4de.24xlarge#0:1}, PP_5:{p4de.24xlarge#0:1}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:1, PP_2:1, PP_3:1, PP_4:1, PP_5:1}",5,80,NO,SUCCESS
llama3-70b,8192,2048,32,65.16,1129.36,903.49,225.87,65.16,16.026801,0.25,16.03,4,"g5.48xlarge#0,g5.48xlarge#1,g5.48xlarge#2,g5.48xlarge#3",4,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0}","{PP_1:{g5.48xlarge#0:8}, PP_2:{g5.48xlarge#1:8}, PP_3:{g5.48xlarge#2:8}, PP_4:{g5.48xlarge#3:8}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8}",32,80,NO,SUCCESS
llama3-70b,8192,2048,32,48.87,711.28,569.02,142.26,48.87,19.085279,0.39,19.09,5,"g5.48xlarge#0,g5.48xlarge#1,g5.48xlarge#2",5,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0}","{PP_1:{g5.48xlarge#0:4}, PP_2:{g5.48xlarge#0:4}, PP_3:{g5.48xlarge#1:4}, PP_4:{g5.48xlarge#1:4}, PP_5:{g5.48xlarge#2:4}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4}",20,80,NO,SUCCESS
llama3-70b,8192,2048,32,62.42,850.92,680.73,170.18,62.42,20.376748,0.33,20.38,2,"p3dn.24xlarge#0,p3dn.24xlarge#1",2,"{PP_1:32.0, PP_2:32.0}","{PP_1:{p3dn.24xlarge#0:8}, PP_2:{p3dn.24xlarge#1:8}}","{PP_1:1-40, PP_2:41-80}","{PP_1:8, PP_2:8}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,65.16,827.67,662.14,165.53,65.16,21.868549,0.34,21.87,8,"g5.48xlarge#0,g5.48xlarge#1,g5.48xlarge#2,g5.48xlarge#3",8,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0, PP_6:24.0, PP_7:24.0, PP_8:24.0}","{PP_1:{g5.48xlarge#0:4}, PP_2:{g5.48xlarge#0:4}, PP_3:{g5.48xlarge#1:4}, PP_4:{g5.48xlarge#1:4}, PP_5:{g5.48xlarge#2:4}, PP_6:{g5.48xlarge#2:4}, PP_7:{g5.48xlarge#3:4}, PP_8:{g5.48xlarge#3:4}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4, PP_6:4, PP_7:4, PP_8:4}",32,80,NO,SUCCESS
llama3-70b,8192,2048,32,62.42,649.56,519.65,129.91,62.42,26.693251,0.43,26.69,4,"p3dn.24xlarge#0,p3dn.24xlarge#1",4,"{PP_1:32.0, PP_2:32.0, PP_3:32.0, PP_4:32.0}","{PP_1:{p3dn.24xlarge#0:4}, PP_2:{p3dn.24xlarge#0:4}, PP_3:{p3dn.24xlarge#1:4}, PP_4:{p3dn.24xlarge#1:4}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,124.84,1215.59,972.47,243.12,124.84,28.527447,0.23,28.53,4,"p3dn.24xlarge#0,p3dn.24xlarge#1,p3dn.24xlarge#2,p3dn.24xlarge#3",4,"{PP_1:32.0, PP_2:32.0, PP_3:32.0, PP_4:32.0}","{PP_1:{p3dn.24xlarge#0:8}, PP_2:{p3dn.24xlarge#1:8}, PP_3:{p3dn.24xlarge#2:8}, PP_4:{p3dn.24xlarge#3:8}}","{PP_1:1-20, PP_2:21-40, PP_3:41-60, PP_4:61-80}","{PP_1:8, PP_2:8, PP_3:8, PP_4:8}",32,80,NO,SUCCESS
llama3-70b,8192,2048,32,93.63,710.46,568.37,142.09,93.63,36.607887,0.39,36.61,5,"p3dn.24xlarge#0,p3dn.24xlarge#1,p3dn.24xlarge#2",5,"{PP_1:32.0, PP_2:32.0, PP_3:32.0, PP_4:32.0, PP_5:32.0}","{PP_1:{p3dn.24xlarge#0:4}, PP_2:{p3dn.24xlarge#0:4}, PP_3:{p3dn.24xlarge#1:4}, PP_4:{p3dn.24xlarge#1:4}, PP_5:{p3dn.24xlarge#2:4}}","{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4}",20,80,NO,SUCCESS
llama3-70b,8192,2048,32,62.42,438.53,350.82,87.71,62.42,39.538951,0.63,39.54,8,"p3dn.24xlarge#0,p3dn.24xlarge#1",8,"{PP_1:32.0, PP_2:32.0, PP_3:32.0, PP_4:32.0, PP_5:32.0, PP_6:32.0, PP_7:32.0, PP_8:32.0}","{PP_1:{p3dn.24xlarge#0:2}, PP_2:{p3dn.24xlarge#0:2}, PP_3:{p3dn.24xlarge#0:2}, PP_4:{p3dn.24xlarge#0:2}, PP_5:{p3dn.24xlarge#1:2}, PP_6:{p3dn.24xlarge#1:2}, PP_7:{p3dn.24xlarge#1:2}, PP_8:{p3dn.24xlarge#1:2}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:2, PP_6:2, PP_7:2, PP_8:2}",16,80,NO,SUCCESS
llama3-70b,8192,2048,32,124.84,826.71,661.37,165.34,124.84,41.946537,0.34,41.95,8,"p3dn.24xlarge#0,p3dn.24xlarge#1,p3dn.24xlarge#2,p3dn.24xlarge#3",8,"{PP_1:32.0, PP_2:32.0, PP_3:32.0, PP_4:32.0, PP_5:32.0, PP_6:32.0, PP_7:32.0, PP_8:32.0}","{PP_1:{p3dn.24xlarge#0:4}, PP_2:{p3dn.24xlarge#0:4}, PP_3:{p3dn.24xlarge#1:4}, PP_4:{p3dn.24xlarge#1:4}, PP_5:{p3dn.24xlarge#2:4}, PP_6:{p3dn.24xlarge#2:4}, PP_7:{p3dn.24xlarge#3:4}, PP_8:{p3dn.24xlarge#3:4}}","{PP_1:1-10, PP_2:11-20, PP_3:21-30, PP_4:31-40, PP_5:41-50, PP_6:51-60, PP_7:61-70, PP_8:71-80}","{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4, PP_6:4, PP_7:4, PP_8:4}",32,80,NO,SUCCESS
